player,games_played,avg_elo,mean_score,opening_diversity,favorite_opening,favorite_opening_games,favorite_opening_share,favorite_openings_coverage,family_closed_share,family_flank_share,family_indian_share,family_open_share,family_semi_open_share,eco_a_share,eco_b_share,eco_c_share,eco_d_share,eco_e_share,attackish_share,defensive_share,positional_share,hypermodern_share,cluster_id,archetype,pca_1,pca_2
aavza50,4531,1633.9042154049878,0.5291326418009269,172,Van't Kruijs Opening,1182,0.2608695652173913,0.48488192451997353,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Hypermodern Strategists,-3.6174777162862766,-2.1624307571583414
faryad22,3091,1843.1090262051116,0.48948560336460695,169,Hungarian Opening,792,0.25622775800711745,0.431252021999353,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24081020255063765,0.0,0,Hypermodern Strategists,-3.7598128964155175,-1.8344301764971789
igo1,3031,2118.7730122071926,0.604750907291323,262,King's Indian Attack,219,0.0722533817222039,0.18508742989112503,0.0,0.6292335115864528,0.0,0.0,0.37076648841354726,0.6292335115864528,0.37076648841354726,0.0,0.0,0.0,0.39037433155080214,0.37076648841354726,0.37076648841354726,0.39037433155080214,0,Hypermodern Strategists,-1.9836783827423625,1.5793943636585839
ribarisah,2956,2072.632611637348,0.4671853856562923,235,Hungarian Opening,323,0.10926928281461434,0.2516914749661705,0.0,0.8561827956989247,0.0,0.0,0.14381720430107528,0.8561827956989247,0.14381720430107528,0.0,0.0,0.0,0.25,0.31586021505376344,0.0,0.5658602150537635,0,Hypermodern Strategists,-2.875106529723598,0.19900766847922996
nizzle_fe_shizzle,2801,1933.6526240628348,0.7101035344519815,67,Modern Defense,546,0.1949303820064263,0.38129239557300965,0.0,0.7715355805243446,0.0,0.0,0.22846441947565543,0.7715355805243446,0.22846441947565543,0.0,0.0,0.0,0.4887640449438202,0.5112359550561798,0.18164794007490637,0.8183520599250936,0,Hypermodern Strategists,-3.5788623842585734,0.01120767185263316
grasshopper,2769,1756.8356807511736,0.5520043336944745,139,Modern Defense,591,0.2134344528710726,0.46153846153846156,0.0,0.6095461658841941,0.0,0.0,0.3904538341158059,0.6095461658841941,0.3904538341158059,0.0,0.0,0.0,0.0,0.5805946791862285,0.0,0.5805946791862285,0,Hypermodern Strategists,-2.777148282677975,0.5277052276495942
patrick03,2537,1553.7512810405992,0.4296413086322428,282,Van't Kruijs Opening,337,0.13283405597162,0.24438312968072526,0.0,0.7725806451612903,0.0,0.0,0.22741935483870968,0.7725806451612903,0.22741935483870968,0.0,0.0,0.0,0.22903225806451613,0.22741935483870968,0.0,0.0,0,Hypermodern Strategists,-1.8300857681098537,-0.08237951325538151
frate_ali,2271,1717.8260678115369,0.531924262439454,84,Polish Opening,716,0.3152796125055042,0.46851607221488334,0.0,0.8881578947368421,0.0,0.0,0.1118421052631579,0.8881578947368421,0.1118421052631579,0.0,0.0,0.0,0.0,0.32706766917293234,0.0,0.0,0,Hypermodern Strategists,-3.4476668504042007,-1.5913434281004668
Aurorachess58,2181,1768.259055479138,0.5772581384685924,128,Mieses Opening,663,0.30398899587345257,0.437414030261348,0.0,0.8364779874213837,0.0,0.16352201257861634,0.0,0.8364779874213837,0.0,0.16352201257861634,0.0,0.0,0.16352201257861634,0.3050314465408805,0.0,0.16352201257861634,0,Hypermodern Strategists,-2.9092592129771204,-1.8517659752832134
Andrandandand,2160,1483.6462962962962,0.26435185185185184,156,Van't Kruijs Opening,386,0.1787037037037037,0.29212962962962963,0.0,0.6117274167987322,0.0,0.2076069730586371,0.18066561014263074,0.6117274167987322,0.18066561014263074,0.2076069730586371,0.0,0.0,0.0,0.18066561014263074,0.0,0.18066561014263074,0,Hypermodern Strategists,-1.5078049517172722,-0.9797169998892589
