cluster_id,archetype,players,mean_games,mean_elo,mean_opening_diversity,mean_favorite_share,mean_top5_coverage,mean_score,mean_confidence
2,Aggressive Attackers,2246,162.4487978628673,1593.3266470437818,64.60685663401603,0.10974990259318912,0.33363613253216456,0.5029225749821644,0.9868094135778213
0,Counterpunching Defenders,2224,154.72976618705036,1687.122231376608,60.41636690647482,0.11508224957054679,0.34983456565147564,0.5235375949827518,0.9881599043983853
1,Aggressive Attackers,1947,147.69080636877246,1584.9304040427169,64.87673343605547,0.09309197999555614,0.2977411487177235,0.4925057492539911,0.9895374901901829
5,Counterpunching Defenders,1490,248.42751677852348,1614.5661842164993,72.32080536912751,0.12110585375889017,0.3460356119193489,0.4803628788076233,0.9887114732678032
6,Aggressive Attackers,1473,142.97012898845892,1438.6838102156116,43.82281059063136,0.1932756516926794,0.47397402056470006,0.4300916266272114,0.987513153816352
4,Aggressive Attackers,1340,108.88283582089552,1468.3326902438803,54.42089552238806,0.10391857622072743,0.31777672511826033,0.45975120653109774,0.9890591366690697
3,Aggressive Attackers,1093,111.4775846294602,1656.84218294548,54.53156450137237,0.10332740551107727,0.3176493017523065,0.5007861892799095,0.9949605701394011
7,Hypermodern Strategists,1075,267.4139534883721,1608.1671481508752,54.093023255813954,0.2512878539855576,0.546047350090255,0.47439349856968865,0.9948596338014324
